"RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"Good",93,343,18,162,15,0,0,100,-7,7,8,14,0,13,-8,0,0,1,-8,2,2,0,33
"Bad",72,191,1,39,23,0,0,100,-7,7,8,35,5,19,-7,3,3,30,97,6,2,1,44
"Bad",65,388,4,51,11,1,1,100,-7,7,8,13,8,42,0,0,0,80,95,6,1,2,100
"Good",80,173,8,62,17,0,0,100,-7,7,8,18,2,67,0,1,1,21,93,3,3,0,100
"Good",67,161,12,81,19,0,0,100,-7,7,8,19,0,58,-8,0,0,90,65,4,3,3,100
"Bad",75,212,6,52,16,1,0,88,20,6,5,24,2,53,-7,2,2,16,44,2,2,-8,44
"Bad",73,420,97,208,7,0,0,88,64,6,6,8,0,25,0,0,0,76,-8,3,-8,2,75
"Good",78,298,2,127,27,0,0,97,77,6,6,29,1,45,-8,0,0,62,79,5,4,0,90
"Good",84,213,7,62,19,0,0,100,-7,7,8,21,1,32,-7,2,2,13,79,4,2,0,50
"Good",76,78,8,44,19,0,0,100,-7,7,8,11,3,42,-7,1,1,17,94,5,2,0,78
"Good",58,135,15,71,17,1,1,83,2,4,2,18,0,33,15,0,0,45,-8,2,1,0,75
"Good",88,278,20,138,10,0,0,100,-7,7,8,21,0,27,-8,0,0,3,62,1,1,0,50
"Bad",84,156,26,100,36,0,0,94,32,6,6,29,0,19,-8,0,0,9,-8,1,2,0,27
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",66,115,7,109,35,0,0,100,-7,7,8,3,2,40,-7,1,1,82,67,4,4,3,90
"Bad",65,121,4,61,29,0,0,90,13,6,6,1,3,37,-7,1,1,39,32,4,6,2,69
"Bad",76,314,3,170,7,2,1,67,31,6,3,9,1,11,0,2,2,2,-8,2,1,0,43
"Good",64,166,2,58,14,2,0,89,18,6,5,19,3,58,3,1,1,41,82,3,6,0,82
"Good",65,186,3,40,15,1,1,100,-7,6,8,15,4,20,2,4,4,39,72,7,1,0,67
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",57,311,7,121,30,0,0,87,11,6,6,31,2,26,10,0,0,70,78,12,3,0,94
"Good",78,220,9,86,41,0,0,100,-7,7,8,41,1,20,1,2,2,5,-8,4,2,1,50
"Good",86,192,25,128,17,0,0,100,-7,7,8,17,0,41,-7,0,0,22,-8,3,1,0,80
"Good",88,367,9,117,32,0,0,100,-7,7,8,32,1,22,13,0,0,0,-8,4,2,0,35
"Good",83,198,3,53,38,0,0,100,-7,7,8,39,6,8,-7,4,2,4,-8,2,1,0,18
"Bad",63,217,6,72,13,1,1,100,-7,0,8,13,2,31,5,0,0,103,75,4,3,2,100
"Good",78,288,27,108,9,1,1,82,54,6,3,11,0,36,0,0,0,4,74,1,2,0,60
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",56,135,12,74,34,1,0,91,3,4,5,35,0,20,0,9,9,55,48,8,3,3,61
"Good",85,288,6,100,25,0,0,100,-7,7,8,25,2,24,0,0,0,10,57,3,2,0,50
"Bad",80,172,2,32,38,0,0,100,-7,6,7,39,14,33,0,29,29,6,88,5,4,0,38
"Bad",65,138,7,36,5,1,1,100,-7,6,8,5,3,40,1,2,2,79,-8,3,2,2,100
"Good",77,118,5,58,36,0,0,97,56,6,6,38,2,11,5,0,0,6,42,1,2,0,27
"Bad",69,208,23,125,7,2,0,73,24,6,5,11,0,73,-7,5,5,-8,-8,-8,1,-8,100
"Good",85,271,8,96,26,0,0,100,-7,7,8,26,1,19,0,1,1,4,-8,3,1,0,25
"Bad",70,333,2,75,16,0,0,100,-7,5,8,20,8,30,0,0,0,78,92,6,2,4,67
"Bad",71,288,8,93,30,0,0,100,-7,7,8,51,2,30,-7,0,0,73,-8,9,-8,5,69
"Bad",59,404,4,113,25,1,1,83,3,4,2,29,2,28,4,1,1,2,67,5,2,0,44
"Bad",69,190,47,128,25,0,0,88,14,5,6,25,0,16,8,0,0,87,30,9,1,5,100
"Bad",72,69,5,47,17,1,0,89,36,6,5,18,1,11,0,2,2,17,-8,9,1,0,71
"Bad",63,88,8,41,25,0,0,92,20,6,6,26,1,35,0,2,2,25,72,3,3,2,38
"Bad",70,84,15,47,7,0,0,100,-7,7,8,8,0,63,3,1,1,101,-8,3,1,1,100
"Bad",73,156,4,60,19,0,0,95,6,4,6,20,2,30,0,0,0,53,-8,4,1,1,56
"Bad",75,194,5,55,21,0,0,100,-7,7,8,10,4,14,-7,1,1,42,-8,9,1,0,69
"Bad",70,270,3,72,27,0,0,100,-7,7,8,47,2,29,3,1,1,89,33,7,2,6,75
"Good",91,362,35,139,12,0,0,100,-7,7,8,12,0,8,0,0,0,1,-8,4,1,0,50
"Bad",64,314,4,94,64,0,0,100,-7,7,8,71,5,52,-7,7,7,82,62,25,19,15,88
"Bad",66,76,7,41,22,0,0,95,-7,5,7,22,2,18,0,2,2,79,75,8,2,5,83
"Bad",57,161,3,98,42,0,0,96,7,4,6,45,1,58,1,5,5,54,-8,4,-8,1,67
"Good",74,301,3,90,40,0,0,100,-7,7,8,41,4,25,-8,0,0,22,84,6,7,2,64
"Good",81,137,1,55,20,0,0,100,-7,7,8,23,3,43,1,4,3,33,92,2,3,0,63
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",83,156,5,41,22,0,0,100,-7,7,8,22,3,14,0,1,1,4,71,2,3,0,29
"Bad",72,51,18,35,2,0,0,100,-7,7,8,2,0,100,0,0,0,-8,-8,-8,1,-8,100
"Good",89,169,10,109,14,0,0,100,-7,7,8,15,1,27,21,0,0,37,-8,1,-8,0,33
"Good",77,387,4,95,44,0,0,98,68,6,6,45,3,58,3,3,3,41,62,2,2,0,80
"Bad",62,231,1,139,30,5,1,75,16,6,4,36,1,33,-8,0,0,57,37,10,4,5,74
"Bad",40,177,1,64,4,14,10,29,2,0,2,17,3,53,-7,8,8,106,97,1,2,1,100
"Bad",78,138,5,55,20,0,0,100,-7,7,8,20,4,25,8,0,0,30,-8,2,1,1,23
"Good",84,126,7,66,49,0,0,100,-7,7,8,49,1,57,0,0,0,0,82,1,4,0,56
"Good",74,36,20,80,20,0,0,100,-7,7,8,1,0,15,-7,1,1,81,-8,3,-8,2,67
"Good",73,197,27,109,6,1,1,100,-7,6,8,7,0,71,-8,0,0,8,-8,1,2,0,100
"Good",47,147,6,43,15,2,2,71,6,1,3,18,1,59,0,0,0,91,76,4,6,4,91
"Good",84,397,71,199,8,0,0,88,65,6,6,8,0,13,0,0,0,0,-8,0,-8,-8,50
"Good",86,186,0,102,12,0,0,100,-7,7,8,14,1,50,-8,0,0,37,-8,3,1,0,80
"Bad",70,155,7,79,11,2,1,73,36,6,3,15,1,67,0,0,0,34,-8,1,1,0,100
"Good",77,127,6,54,27,0,0,100,-7,7,8,27,1,41,0,0,0,33,34,4,8,1,63
"Bad",57,160,1,70,6,3,2,45,13,6,3,11,1,73,0,2,2,64,52,1,4,1,71
"Good",85,148,4,58,42,0,0,100,-7,7,8,62,4,9,0,3,3,2,100,3,2,0,24
"Good",71,-8,9,46,15,0,0,88,21,6,6,16,3,44,8,0,0,32,89,3,2,0,63
"Good",77,90,10,41,3,0,0,100,-7,7,8,3,1,67,0,0,0,26,83,1,2,0,100
"Good",87,273,23,78,22,0,0,100,-7,7,8,22,0,23,0,1,1,4,-8,2,2,0,44
"Good",79,210,14,102,13,0,0,93,79,6,6,14,0,29,13,0,0,20,-8,2,1,1,75
"Good",74,243,9,84,31,0,0,100,-7,7,8,33,1,30,-7,0,0,80,90,8,3,5,85
"Bad",66,160,3,71,17,0,0,83,15,6,6,18,1,44,0,1,1,32,70,3,3,1,86
"Bad",92,330,1,119,10,0,0,100,-7,7,8,11,2,9,-8,0,0,1,53,1,1,0,33
"Good",88,204,11,77,20,0,0,95,71,6,6,20,1,25,0,0,0,8,52,2,2,0,57
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",85,223,13,87,23,0,0,91,26,6,6,26,0,9,1,1,1,4,-8,4,1,0,50
"Bad",63,59,16,34,3,1,1,100,-7,7,8,4,0,0,0,0,0,68,-8,3,-8,-8,100
"Bad",84,191,35,104,11,0,0,100,-7,7,8,12,0,58,0,2,0,4,50,1,2,0,75
"Bad",63,97,5,53,17,0,0,88,18,6,6,18,2,18,0,4,4,65,79,3,1,1,44
"Good",86,227,9,103,32,0,0,100,-7,7,8,35,2,28,14,0,0,14,16,3,2,0,42
"Good",70,200,6,95,23,0,0,96,14,6,6,24,1,58,0,3,3,34,75,5,4,0,82
"Bad",54,116,17,46,12,4,1,50,5,3,4,16,0,38,-7,2,1,81,-8,6,1,1,88
"Bad",82,127,4,57,50,0,0,100,-7,5,7,28,3,20,9,0,0,19,98,6,4,0,59
"Good",73,347,8,120,37,1,1,95,22,6,4,53,2,46,0,1,1,66,84,5,2,2,70
"Good",83,157,25,206,5,0,0,100,-7,7,8,22,0,0,7,0,0,15,-8,2,-8,0,50
"Good",69,281,6,76,36,0,0,100,-7,7,8,36,2,25,0,4,4,12,83,5,2,3,41
"Bad",57,12,2,5,5,0,0,100,-7,7,8,8,7,13,0,4,4,50,-8,6,1,2,88
"Bad",78,181,16,48,16,0,0,94,52,6,6,8,0,13,0,1,1,13,-8,3,1,0,40
"Good",58,39,1,27,12,0,0,100,-7,7,8,13,1,54,-7,4,4,94,62,3,1,2,80
"Bad",86,228,5,85,31,0,0,100,-7,7,8,32,3,41,0,0,0,16,42,2,2,0,44
"Good",81,223,6,83,63,0,0,100,-7,7,8,63,3,16,0,1,0,15,89,2,3,1,40
"Bad",58,184,7,66,39,9,2,85,22,0,5,57,3,44,0,3,3,95,78,5,4,3,100
"Bad",67,256,6,90,45,0,0,100,-7,7,8,4,2,9,5,0,0,57,58,13,2,8,57
"Good",91,262,19,101,9,0,0,100,-7,7,8,9,0,0,19,0,0,8,-8,2,-8,0,50
"Good",75,90,4,40,20,0,0,95,79,6,6,20,5,15,0,0,0,26,96,10,2,0,75
"Good",79,-8,4,81,18,0,0,94,43,6,6,0,1,17,0,3,3,0,65,1,3,0,50
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",70,391,6,66,17,3,3,100,-7,7,8,37,3,41,-7,1,1,1,72,1,2,0,71
"Bad",77,59,19,41,6,0,0,100,-7,7,8,6,0,50,4,2,1,0,93,0,2,-8,67
"Bad",76,177,3,53,28,0,0,100,-7,7,8,29,4,64,-7,2,2,1,81,3,11,0,82
"Good",86,177,5,70,33,0,0,100,-7,7,8,34,3,38,0,3,3,2,-8,2,2,0,36
"Bad",70,165,15,90,26,1,1,87,15,6,6,31,0,81,-7,0,0,19,51,1,4,-8,100
"Bad",67,199,3,84,24,1,1,100,-7,6,8,24,2,33,0,1,1,81,85,3,3,3,86
"Good",81,365,8,60,27,0,0,96,43,6,6,54,2,19,3,1,1,10,87,4,3,0,64
"Bad",63,134,5,81,17,1,0,70,29,6,5,20,1,45,7,0,0,80,34,4,2,3,100
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",87,405,19,124,25,0,0,100,-7,7,8,25,0,20,0,0,0,9,-8,4,1,1,63
"Good",91,536,48,142,21,0,0,100,-7,7,8,21,0,19,-7,0,0,6,-8,4,-8,0,40
"Bad",62,84,8,46,23,0,0,96,17,6,6,24,1,29,0,0,0,54,39,5,2,3,70
"Good",80,126,6,65,12,0,0,100,-7,7,8,17,1,65,7,0,0,30,58,2,5,0,88
"Bad",61,169,41,82,10,1,0,64,1,4,5,11,0,18,0,0,0,85,-8,1,1,1,67
"Good",84,178,3,65,30,0,0,100,-7,7,8,36,5,47,6,0,0,12,-8,3,1,0,44
"Good",70,206,9,108,30,3,3,97,-8,6,6,34,1,66,0,1,1,0,50,1,2,-8,80
"Bad",65,385,4,101,36,0,0,84,4,4,6,39,3,21,0,0,0,16,85,9,2,1,52
"Good",76,157,3,78,26,0,0,100,-7,7,8,27,2,56,2,4,4,26,83,5,3,2,89
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",67,310,18,101,31,0,0,97,9,4,6,31,0,42,0,1,1,72,31,3,2,2,86
"Bad",56,193,46,88,22,0,0,78,3,4,6,23,0,22,0,1,1,64,37,8,2,4,83
"Good",79,108,4,58,26,0,0,100,-7,7,8,26,1,12,0,7,7,5,-8,2,1,0,38
"Good",72,400,3,104,38,0,0,100,-7,7,8,39,5,18,0,0,0,37,3,9,2,3,63
"Bad",80,175,6,59,19,0,0,100,-7,7,8,19,1,16,0,3,3,12,-8,6,1,0,58
"Bad",64,120,3,44,2,1,1,67,74,6,2,3,2,0,0,2,2,44,-8,2,-8,1,100
"Good",64,31,3,16,9,0,0,100,-7,7,8,9,3,33,-7,1,1,69,65,5,2,1,88
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",65,92,11,57,32,0,0,97,8,4,6,32,1,44,0,4,4,45,68,4,4,1,57
"Good",81,220,2,91,20,0,0,100,-7,7,8,23,2,39,-7,2,2,36,-8,3,1,1,67
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",60,191,5,67,10,2,2,83,49,6,4,12,2,33,-7,1,1,86,86,3,2,2,71
"Good",65,196,1,60,21,0,0,100,-7,7,8,28,3,21,1,3,3,70,86,10,4,5,93
"Good",69,200,2,73,20,2,1,92,4,3,5,24,2,38,0,5,5,2,-8,6,1,0,64
"Bad",63,141,2,71,27,1,1,83,21,6,2,35,4,43,0,4,4,35,100,5,3,0,90
"Good",72,117,37,119,9,1,0,90,22,6,5,18,0,20,-7,0,0,24,-8,5,1,0,100
"Bad",59,68,7,33,17,0,0,100,-7,7,8,17,3,12,0,3,3,73,-8,8,1,5,67
"Good",69,139,4,95,28,1,1,91,4,4,6,23,3,50,4,1,1,45,48,5,2,1,88
"Bad",68,28,9,21,3,0,0,100,-7,7,8,3,1,100,0,0,0,-8,-8,-8,2,-8,100
"Bad",75,207,4,46,17,0,0,100,-7,7,8,17,4,24,0,4,3,62,66,6,2,0,67
"Bad",80,226,2,66,35,0,0,100,-7,7,8,36,2,47,0,0,0,2,77,5,7,0,62
"Good",80,214,8,74,17,0,0,100,-7,7,8,28,1,35,0,1,1,31,83,3,2,1,56
"Good",79,192,10,69,18,0,0,100,-7,7,8,18,1,28,-7,1,1,24,78,5,2,0,78
"Bad",65,483,0,84,35,0,0,97,41,6,6,38,5,21,0,4,4,42,21,9,2,1,65
"Bad",57,21,3,12,10,0,0,100,-7,7,8,10,5,90,6,1,0,76,83,1,1,-8,100
"Bad",69,160,5,109,11,1,1,92,20,6,3,13,1,31,-7,0,0,94,-8,3,2,3,100
"Bad",61,128,4,61,5,1,1,75,13,6,2,8,1,38,3,2,2,90,-8,1,1,1,100
"Bad",80,202,44,147,5,0,0,100,-7,7,8,5,0,0,0,1,0,77,-8,3,-8,1,100
"Bad",68,178,3,73,27,0,0,90,23,6,6,30,4,52,0,0,0,73,69,3,3,1,86
"Bad",59,248,3,85,27,1,1,80,4,0,2,40,3,60,0,0,0,16,83,4,3,0,64
"Bad",62,30,2,13,8,0,0,90,5,4,6,10,4,40,0,3,3,17,100,3,4,0,89
"Good",84,373,16,107,32,0,0,100,-7,7,8,32,0,38,0,1,1,14,30,7,5,0,67
"Good",66,248,9,93,47,0,0,96,30,6,6,47,1,32,5,2,2,54,79,6,3,2,63
"Good",79,242,21,99,33,0,0,100,-7,7,8,35,0,34,14,0,0,33,-8,8,2,2,53
"Good",71,387,9,133,52,1,0,93,22,6,5,55,1,49,0,0,0,22,51,8,6,1,67
"Bad",69,99,6,33,23,0,0,100,-7,7,8,32,3,21,0,7,7,33,95,3,3,1,43
"Bad",70,117,3,65,29,0,0,100,-7,7,8,29,4,34,-8,0,0,69,94,8,3,5,71
"Bad",77,166,2,86,19,0,0,100,-7,7,8,20,3,20,2,2,2,44,-8,5,2,0,70
"Good",75,364,12,123,43,0,0,98,24,6,6,43,0,26,2,1,1,1,31,7,2,1,45
"Good",79,186,9,89,13,0,0,100,-7,7,8,13,1,46,0,0,0,28,50,4,1,1,86
"Bad",65,144,13,84,9,0,0,73,54,6,6,11,0,18,0,0,0,78,-8,7,1,2,89
"Bad",73,74,27,48,3,0,0,100,-7,7,8,3,0,100,0,2,2,-8,98,-8,1,-8,100
"Good",81,302,23,145,9,1,0,90,53,6,5,10,0,30,21,0,0,1,75,2,2,0,80
"Good",77,119,4,52,30,0,0,100,-7,7,8,34,4,73,6,0,0,26,86,4,8,0,92
"Good",84,245,10,113,16,0,0,94,17,6,6,17,1,12,-7,0,0,6,-8,2,-8,0,40
"Bad",68,205,12,114,28,0,0,100,-7,7,8,29,0,11,2,1,1,63,-8,5,2,3,78
"Bad",70,105,5,38,12,1,1,100,-7,7,8,13,1,17,0,1,1,21,-8,3,1,0,57
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",73,106,4,48,19,0,0,95,81,6,6,20,3,30,1,4,4,20,89,1,3,1,40
"Good",82,180,37,106,16,0,0,94,35,6,6,16,0,13,0,2,2,3,-8,2,1,0,38
"Bad",65,116,3,39,22,0,0,95,15,6,6,22,3,32,0,1,1,50,47,5,4,1,69
"Bad",83,130,0,45,14,0,0,100,-7,7,8,16,3,44,0,2,2,25,-8,2,2,0,44
"Good",80,360,2,114,27,0,0,97,25,6,6,29,2,62,0,1,1,10,100,3,2,2,63
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",70,275,2,110,28,14,14,68,13,6,3,44,3,55,-7,0,0,31,89,3,2,1,50
"Good",81,370,6,78,25,0,0,96,24,6,6,26,1,42,0,1,1,0,67,1,3,0,40
"Bad",71,-8,16,161,6,1,0,86,23,6,5,0,0,29,-7,0,0,88,-8,2,1,1,100
"Bad",52,216,3,63,17,1,1,88,2,4,6,17,4,29,1,4,4,78,-8,6,1,4,70
"Good",69,241,4,82,48,0,0,100,-7,7,8,48,2,10,0,2,2,34,45,8,2,4,48
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",64,76,23,46,19,2,2,95,6,0,2,21,0,55,0,0,0,87,58,4,5,4,75
"Bad",57,385,9,81,26,0,0,85,2,4,6,28,1,23,8,0,0,73,84,5,2,2,58
"Bad",63,135,2,78,6,4,2,54,23,6,2,13,2,31,1,2,1,31,-8,1,1,0,67
"Good",70,132,2,64,20,1,1,92,6,4,6,26,4,4,0,1,1,1,-8,1,-8,0,13
"Bad",57,208,4,69,20,0,0,65,3,4,6,20,2,40,0,6,6,70,100,4,3,2,64
"Bad",68,132,9,65,34,0,0,100,-7,7,8,36,2,38,6,0,0,50,88,6,2,4,62
"Bad",55,138,6,43,3,0,0,50,73,5,6,4,1,50,0,2,2,131,90,1,1,-8,100
"Bad",76,325,6,79,20,0,0,95,11,4,6,20,1,45,0,3,2,3,64,2,4,0,80
"Good",72,191,29,89,29,0,0,100,-7,7,8,29,0,24,7,0,0,56,-8,9,1,6,83
"Good",90,230,13,73,11,0,0,100,-7,7,8,13,0,62,0,0,0,1,71,1,4,0,71
"Bad",82,161,4,75,25,0,0,96,74,6,6,19,1,67,-7,5,5,9,87,2,2,-8,100
"Good",87,241,2,93,17,0,0,100,-7,7,8,18,4,17,-7,1,1,7,-8,5,1,1,50
"Good",82,193,14,74,13,0,0,100,-7,7,8,13,0,38,0,0,0,21,60,3,2,2,63
"Good",82,178,4,73,18,0,0,95,-8,6,6,20,3,40,-7,4,4,4,44,3,2,0,63
"Good",60,143,1,74,22,1,1,96,5,0,2,29,4,34,0,3,3,30,96,6,3,2,82
"Bad",69,140,4,60,21,0,0,100,-7,7,8,22,5,55,-7,3,3,70,-8,6,1,1,88
"Bad",66,464,2,73,23,0,0,96,15,6,6,26,2,31,0,2,2,79,36,6,2,3,80
"Good",78,193,29,100,18,0,0,100,-7,7,8,18,0,33,-8,0,0,63,-8,4,2,2,55
"Good",70,253,33,131,23,1,1,100,-7,0,8,23,0,35,-8,0,0,3,48,3,3,0,55
"Good",84,165,1,84,18,0,0,100,-7,7,8,20,1,50,2,1,1,12,63,4,1,0,71
"Bad",68,46,12,31,11,0,0,91,13,6,6,11,0,36,0,0,0,33,56,4,2,0,86
"Bad",62,489,6,147,17,0,0,67,10,4,6,21,1,19,0,3,3,46,-8,6,1,2,62
"Good",67,203,45,144,12,1,1,86,2,0,2,23,0,36,-7,0,0,76,90,3,2,0,83
"Bad",65,141,7,60,36,0,0,100,-7,7,8,36,3,31,-7,2,2,55,52,10,5,4,68
"Bad",72,177,21,75,15,1,0,94,13,6,5,16,0,38,0,0,0,30,-8,5,1,1,86
"Bad",62,34,10,23,6,1,1,83,12,6,6,6,1,33,0,0,0,45,72,4,2,1,100
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",87,182,8,73,45,0,0,98,-8,6,6,45,4,20,15,0,0,4,46,2,2,0,20
"Bad",66,62,1,37,18,0,0,100,-7,7,8,22,3,5,0,1,1,64,-8,9,1,3,85
"Bad",75,176,5,81,22,0,0,100,-7,7,8,25,2,60,0,1,1,63,23,2,3,0,83
"Bad",73,126,12,61,11,0,0,100,-7,7,8,11,0,45,0,1,1,71,57,4,3,2,88
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",58,157,10,50,5,0,0,80,5,4,6,5,3,60,0,1,0,-8,83,0,3,-8,75
"Bad",61,115,13,70,16,3,1,74,9,2,4,19,0,21,0,3,3,10,2,3,2,0,56
"Bad",67,325,13,106,12,0,0,62,1,4,6,33,0,38,-7,0,0,92,14,2,2,-8,80
"Bad",74,167,4,63,17,0,0,94,31,6,6,17,2,41,0,2,2,38,91,4,3,2,78
"Bad",66,342,6,97,15,7,7,88,37,0,6,17,1,71,0,0,0,50,-8,3,1,1,100
"Good",70,191,6,65,12,2,1,73,26,6,4,16,2,40,0,0,0,7,-8,2,-8,0,67
"Good",76,98,11,50,15,0,0,100,-7,7,8,15,2,27,0,0,0,42,60,2,2,1,63
"Bad",62,159,6,67,14,0,0,86,3,4,6,18,3,36,0,2,2,71,93,2,3,1,83
"Good",65,287,16,82,31,4,2,85,45,6,5,34,0,62,3,1,1,84,72,2,5,2,89
"Good",79,172,6,47,20,0,0,100,-7,7,8,20,1,55,7,0,0,9,49,3,5,0,67
"Bad",68,176,8,96,22,0,0,95,11,4,6,22,1,27,0,0,0,62,17,2,6,1,89
"Bad",60,134,9,48,12,0,0,92,23,6,6,15,1,57,0,1,1,97,57,4,5,3,90
"Good",59,189,3,107,16,1,0,60,8,4,5,20,1,25,-7,0,0,78,96,5,2,2,88
"Good",60,131,6,50,31,0,0,100,-7,7,8,31,2,35,10,0,0,75,54,14,5,8,95
"Bad",66,204,6,89,20,0,0,100,-7,7,8,20,1,40,0,1,1,90,100,2,2,1,100
"Bad",65,64,6,40,14,0,0,100,-7,7,8,14,1,36,0,1,1,95,-8,3,2,3,86
"Good",68,148,7,65,17,0,0,83,31,6,6,18,1,44,0,0,0,28,48,2,2,2,40
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",88,254,7,102,21,0,0,100,-7,7,8,24,1,54,0,0,0,0,8,3,2,0,100
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",66,196,4,76,41,0,0,100,-7,7,8,43,3,17,3,1,1,37,98,9,3,4,55
"Bad",61,192,1,54,13,1,1,87,14,6,3,15,4,53,0,0,0,54,-8,3,1,1,80
"Bad",82,323,7,95,27,1,1,96,44,6,4,28,2,46,0,1,1,19,77,8,4,0,80
"Good",81,229,7,82,32,0,0,100,-7,7,8,32,2,25,11,0,0,9,54,10,3,0,65
"Good",86,307,24,131,14,0,0,100,-7,7,8,15,0,0,0,0,0,10,-8,2,-8,0,29
"Bad",60,139,4,71,23,1,1,72,19,6,4,29,2,38,0,0,0,89,69,11,2,2,81
"Bad",62,93,9,40,12,1,1,85,3,0,2,13,1,54,8,0,0,30,90,2,2,1,57
"Good",91,390,22,194,25,0,0,100,-7,7,8,25,0,24,-8,0,0,5,-8,4,2,0,86
"Bad",75,355,12,111,21,1,1,87,46,6,3,7,0,39,-7,2,2,50,64,5,3,2,62
"Good",62,262,2,93,36,0,0,100,-7,7,8,37,1,35,19,0,0,92,56,13,5,8,100
"Bad",76,10,2,7,2,0,0,100,-7,7,8,3,3,67,0,1,1,0,-8,0,1,-8,50
"Bad",76,143,11,32,5,0,0,100,-7,7,8,1,1,60,15,0,0,62,42,2,2,1,100
"Good",81,187,4,90,22,0,0,100,-7,7,8,22,2,32,-8,0,0,29,81,4,2,0,60
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",59,244,4,76,27,1,0,80,6,4,5,30,2,40,0,2,2,88,54,7,4,3,93
"Bad",68,331,11,134,39,0,0,92,2,4,6,23,1,31,0,3,3,37,64,6,6,0,68
"Good",68,32,10,17,4,0,0,100,-7,7,8,4,1,50,3,4,4,13,92,1,2,-8,75
"Bad",59,90,4,55,52,0,0,98,3,4,6,22,3,33,0,2,2,15,51,9,6,2,60
"Bad",61,96,3,28,9,1,1,80,8,4,2,16,3,40,-7,0,0,26,99,3,2,1,63
"Bad",66,92,2,59,4,2,2,83,25,6,6,6,1,83,-7,1,1,-8,-8,1,1,-8,100
"Good",78,126,7,58,41,0,0,100,-7,7,8,45,2,51,0,2,2,14,75,3,5,0,50
"Good",79,219,5,92,18,0,0,100,-7,7,8,18,1,28,23,0,0,15,31,3,2,1,75
"Bad",62,-8,9,42,10,2,1,83,5,3,5,12,2,33,1,1,1,14,90,4,1,1,63
"Good",84,319,10,95,32,0,0,100,-7,7,8,35,2,23,0,0,0,19,89,5,1,0,50
